Tanggal,Username,Tweet,Lokasi,Followers
2023-05-07 09:36:19+00:00,Mulyawans07gma2,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,1158
2023-05-07 09:35:49+00:00,adi_adi22260051,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",,25
2023-05-07 09:35:36+00:00,OjolNyambi,RT @Iwansetiawan512: Selamat Ulang Tahun ( Happy Birth Day )🌹🌹 Teruntuk  Bapak  DR H Anies Rasyid  Baswedan @aniesbaswedan  7 Mei 1969 - 7…,bandung,392
2023-05-07 09:35:32+00:00,maselonk,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",,68
2023-05-07 09:35:20+00:00,abahnanisa,"RT @Lisaamartatara6: Udah lihat Pidato Presiden kita di @Metro_TV ?...

Keren kannnn...

Insya Alloh 2024 Gw akan berjuang keras... https:/…",bumi nya Allah Swt,3721
2023-05-07 09:34:57+00:00,Johan64048206,@ch_chotimah2 Siapa Presiden Pilihan Anda Tahun 2024,,76
2023-05-07 09:34:55+00:00,fapank,"RT @CutSarina5: Yaumil Milad Pak Anies Baswedan ke 53,ya Allah karuniakan umur yang panjang dan berkah jadikanlah pak Anies Presiden RI di…","Jawa Barat, Indonesia",666
2023-05-07 09:34:26+00:00,Lisaamartatara6,"Udah lihat Pidato Presiden kita di @Metro_TV ?...

Keren kannnn...

Insya Alloh 2024 Gw akan berjuang keras... https://t.co/CXbSOSKcz8",,3012
2023-05-07 09:33:49+00:00,BungaLiar15,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",Indonesia 🇮🇩,134
2023-05-07 09:33:32+00:00,BM7NOGO,"Jalan keluar satu2nya.. sdh saatnya Indonesia memilih Calon pendamping Presiden 2024 Sosok org yg jujur, berintegritas, memahami birokrasi memiliki pengalaman tinggi di dalam mengelola Negara, tdk pebisnis dn memiliki jam terbang tinggi sesuai amanah Presiden ( Hanya Prof. Mahfud",Anak Medan.. North Sumatera,4497
2023-05-07 09:33:31+00:00,coachedan,RT @IMCMushroom: Ayo Buruh dan Ojol! Kita Tagih Janji Pak Anies Baswedan yg konon katanya akan Perjuangkan Nasib Buruh &amp; Ojol. Kita lihat a…,Indonesia,1870
2023-05-07 09:33:25+00:00,BoXvegeance,"RT @aniesmania: Gus Wafi Putra Mbah Moen nilai Anies Baswedan pemimpin paling tepat untuk jadi Presiden RI 2024 ❤️🇮🇩

Aamiin 🤲🤲🤲

#Anies #A…","Papua, Indonesia",2
2023-05-07 09:33:18+00:00,Riezall82373843,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,135
2023-05-07 09:33:01+00:00,KartikoVianto,"RT @Pemuja_Cinta01: Nah....dari gaya bicaranya menurut anda siapa yang pantas menjadi presiden RI 2024...
@aniesbaswedan 🔄 retweet
@ganjarp…","DKI Jakarta, Indonesia",332
2023-05-07 09:32:35+00:00,PuppyMpop,RT @FarrahSama: @PuppyMpop @diyamed2 Kawal terus sampe titik perubahan nyata ... Selamat berbahagia tuk relawan relawan Anies Baswedan for…,,1273
2023-05-07 09:32:24+00:00,Guse43935882,"RT @Mdy_Asmara1701: Barakallah FII Umrik Pak @aniesbaswedan Semoga Menjadi Presiden RI 2024🙏🏻

#MiladAnies https://t.co/BJ9bxl0UtS",,126
2023-05-07 09:32:17+00:00,iqbal_dull,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",Jakarta Capital Region,1224
2023-05-07 09:32:14+00:00,888Aigner,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",,9
2023-05-07 09:31:39+00:00,FirzaHusainID,"RT @_zhyme: Ganjarian Spartan dukung @erickthohir dampingi Ganjar Pranowo di Pilpres 2024.

Dukungan ini diberikan atas dasar penilaian mer…",Jakarta Raya,78676
2023-05-07 09:31:16+00:00,411cmr,"Selamat Hari Ulang Tahun Pak Presiden, eh Pak Calon Presiden.

Perasaan saya benar-benar ingin segera GANTI PRESIDEN, Semoga 2024 tidak ada kecurangan pemilu, sehingga Pak Anies Baswedan benar-benar jadi Presiden Republik Indonesia, Presiden Kami Semua. https://t.co/X3gCjTsvLA","Bogor, West Java",278
2023-05-07 09:30:44+00:00,RobiCah08897085,RT @LANGKAHANIES: Forum Ka'bah Membangun Garut 💯% mendukung pemimpin berakhlak mulia orang baik pilih orang baik @aniesbaswedan 2024 Presid…,,62
2023-05-07 09:30:37+00:00,ariestarico2,"RT @Urrangawak: Jember keren..
Ribuan warga sambut Ganjar di Alun-Alun Jember.

Siap kawal Ganjar menuju Presiden 2024 https://t.co/gmXccqc…",🇲🇨peace,7456
2023-05-07 09:30:24+00:00,masgah_,RT @Ganjaran_app: Langkah awal kemenangan @ganjarpranowo sbg Presiden 2024 dimulai dari posko Pande Giling. Setelah ini ribuan posko kemena…,,2978
2023-05-07 09:30:20+00:00,dVanteeNayla,RT @Iwansetiawan512: Selamat Ulang Tahun ( Happy Birth Day )🌹🌹 Teruntuk  Bapak  DR H Anies Rasyid  Baswedan @aniesbaswedan  7 Mei 1969 - 7…,,727
2023-05-07 09:30:17+00:00,mashermawan10,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,32
2023-05-07 09:30:05+00:00,El_Minangkabawi,"RT @CutSarina5: Yaumil Milad Pak Anies Baswedan ke 53,ya Allah karuniakan umur yang panjang dan berkah jadikanlah pak Anies Presiden RI di…","Sumatera Barat, Indonesia",106
2023-05-07 09:30:01+00:00,Paulispoal,"RT @Mdy_Asmara1701: Barakallah FII Umrik Pak @aniesbaswedan Semoga Menjadi Presiden RI 2024🙏🏻

#MiladAnies https://t.co/BJ9bxl0UtS",,352
2023-05-07 09:29:51+00:00,PayungHujan10,"RT @siregar_elang: Ayo rakyat seluruh indonesia dari sabang sampai merauke..

Bersama @PKSejahtera mari kita dukung @aniesbaswedan sbg capr…",Negeri di atas Awan,2548
2023-05-07 09:29:08+00:00,BoXvegeance,"RT @LANGKAHANIES: Alhamdulillah mas @aniesbaswedan sampai juga ditanah cikal bakal kami di kabupaten Jember
Insyaallah Rakyat Jember 💯 2024…","Papua, Indonesia",2
2023-05-07 09:28:56+00:00,andik_sugiarto,"RT @Aryprasetyo85: #GanjarMenangTotal
Temui Relawan di Surabaya, @ganjarpranowo: Jangan Saling Hina dan Bully!

Bakal Calon Presiden Ganjar…",Samarinda,618
2023-05-07 09:28:35+00:00,nasdem_riau,"Selamat Ulang Tahun Calon Presiden 2024 Bapak Anies Baswedan

𝐈𝐭'𝐬 𝐓𝐢𝐦𝐞 𝐑𝐞𝐬𝐭𝐨𝐫𝐚𝐬𝐢 𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚 🇮🇩

#ItsTime #PartaiNasDem #NasDemRiau #RestorasiIndonesia #GerakanPerubahan #NasDemBersamaRakyat
#Sukacita #UlangTahun https://t.co/iqi2V3s8Hb",Jalan Diponegoro No. 24,50
2023-05-07 09:28:33+00:00,fah_mieeapaa,RT @Ganjaran_app: Langkah awal kemenangan @ganjarpranowo sbg Presiden 2024 dimulai dari posko Pande Giling. Setelah ini ribuan posko kemena…,,7
2023-05-07 09:28:03+00:00,Kanjeng2022,"RT @Urrangawak: Jember keren..
Ribuan warga sambut Ganjar di Alun-Alun Jember.

Siap kawal Ganjar menuju Presiden 2024 https://t.co/gmXccqc…",Indonesia,7406
2023-05-07 09:27:52+00:00,MrMasnur,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",,677
2023-05-07 09:27:24+00:00,rw_27,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/hp3LNLeQak https://t.co/EIjFdZ5XOv",,146
2023-05-07 09:27:18+00:00,Urrangawak,"RT @seruanhl: Dinilai sebagai tokoh muda yang telah terbukti berhasil di kabinet pemerintahan Presiden Jokowi, Ganjarian Spartan dukung Men…",🇮🇩 Pancasila,24436
2023-05-07 09:26:44+00:00,rudydesda,"@Lisaamartatara6 @TyrexMaximus Aku bukan ksatria baja hitam, tapi aku ingin perubahan.
AKU PILIH ANIES SEBAGAI PRESIDEN 2024.",Indonesia,683
2023-05-07 09:26:20+00:00,mira75339695,"RT @Malika6027: BALI SIAP MENANGKAN ANIES !!
Dukungan di sampaikan oleh tokoh puri bangli (tokoh bangsawan) bangli yaitu gde putra winatasi…",,5
2023-05-07 09:26:18+00:00,sujudsyukur12,RT @IMCMushroom: Ayo Buruh dan Ojol! Kita Tagih Janji Pak Anies Baswedan yg konon katanya akan Perjuangkan Nasib Buruh &amp; Ojol. Kita lihat a…,,326
2023-05-07 09:25:57+00:00,Magomedfawzia,@aniesbaswedan Semoga sehat selalu calon presiden Indonesia 2024😘🙏,SEMARANG ,33
2023-05-07 09:25:50+00:00,awan8830,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…","DKI Jakarta, Indonesia",8
2023-05-07 09:25:39+00:00,Sd3Anis,RT @Ganjaran_app: Langkah awal kemenangan @ganjarpranowo sbg Presiden 2024 dimulai dari posko Pande Giling. Setelah ini ribuan posko kemena…,,44
2023-05-07 09:25:33+00:00,carlitovito180,"@Mdy_Asmara1701 Auranya sudah terpancar..
Insyaa Allah @aniesbaswedan  Presiden RI 2024-2029.
Aaammiinn Yaa Robbal Alamiin🤲","Bogor, Jawa Barat",1
2023-05-07 09:25:17+00:00,gordenhijau12,"RT @sahabatganjar: KOMPAS TV, KOMPAS UPDATE :  Sabtu, 6 Mei 2023 - 15.59 WIB

SAHABAT GANJAR KONSOLIDASI BERSAMA BANTENG MUDA INDONESIA UNT…",,41
2023-05-07 09:25:02+00:00,Penyair_Berdiri,"RT @Urrangawak: Jember keren..
Ribuan warga sambut Ganjar di Alun-Alun Jember.

Siap kawal Ganjar menuju Presiden 2024 https://t.co/gmXccqc…",,20402
2023-05-07 09:24:56+00:00,Fauzi56100765,Barokalloh.. .. Presiden 2024 Anies Rasyid Baswedan... https://t.co/beVnpG9aLD,,227
2023-05-07 09:24:39+00:00,gordenhijau12,"@turnisty @sahabatganjar Keren nih Sahabat Ganjar..
SEmakin yakin Pak Ganjar menjadi Presiden 2024",,41
